학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액,위도,경도
ICT폴리텍대학,사립,경기,전문대학,2500000.0,660275000,43,91248936,10615000,37.3973608087,127.2482711612
가야대학교(김해),사립,경남,대학,7446294.0,6731889810,582,1803113000,953013000,35.2698162801,128.8723209843
가천대학교,사립,경기,대학,9094425.6,77843265838,5554,19540025873,13159780451,37.4512348695,127.1293943262
가톨릭관동대학교,사립,강원,대학,7725838.9,21628812317,1788,5363917479,2864833126,37.7373287772,128.8737045796
가톨릭꽃동네대학교,사립,충북,대학,7468777.8,1998417415,123,368008385,197458385,36.5219730416,127.4029847365
가톨릭대학교,사립,경기,대학,7963851.9,28695616841,3112,12266569219,8877801279,37.4875313666,126.7986015251
가톨릭상지대학교,사립,경북,전문대학,6122698.4,7148534417,545,1367080534,538730534,36.5693920207,128.7371116893
감리교신학대학교,사립,서울,대학,6941350.0,2886603070,588,2188122340,1462072340,37.5679167647,126.9618923676
강남대학교,사립,경기,대학,8206173.1,22201126913,1931,6612456351,4368418719,37.2741253925,127.1320999033
강동대학교,사립,충북,전문대학,6087118.9,13231413683,964,2845023889,1414423889,37.1435638628,127.647374692
강릉영동대학교,사립,강원,전문대학,6161215.3,8965802818,701,1994311750,1005157580,37.7474175203,128.8549578503
강서대학교,사립,서울,대학,7933023.5,5602164367,447,1471792335,937792335,37.5486853053,126.8541565249
강원대학교,국공립,강원,대학,4231664.8,57280056940,5171,13107727256,5053901981,37.8680243076,127.7483874081
강원도립대학교,국공립,강원,전문대학,2347981.6,1896626865,77,147599000,15099000,37.8766327119,128.8306235929
거제대학교,사립,경남,전문대학,6720853.1,4940098485,296,788380095,339030095,34.8494397344,128.7275934347
건국대학교,사립,서울,대학,8935134.0,83072559273,8862,38006157365,26885056962,37.5391826749,127.0747119023
건양대학교,사립,충남,대학,7429363.0,26621412694,1766,4822286668,2299279338,36.1821519221,127.1096874089
건양사이버대학교,사립,대전,대학,2537763.9,9895117834,654,1383522125,296509200,36.3077818181,127.3426467781
경기과학기술대학교,사립,경기,전문대학,6933951.9,16092637039,1073,3152588302,1721712268,37.3388138614,126.7364292295
경기대학교,사립,경기,대학,8003495.9,51811828645,4577,16597985533,11287552513,37.2980136932,127.0331167151
경남대학교,사립,경남,대학,7060677.8,33880956270,2551,7003572646,3234317512,35.1843209283,128.555096374
경남도립거창대학,국공립,경남,전문대학,2859245.1,2709976215,99,199986000,31086000,35.6732025593,127.9124186594
경남정보대학교,사립,부산,전문대학,6732394.5,23249099612,1904,4685575887,1695309374,35.14645085,129.0090707
경동대학교,사립,강원,대학,8651314.8,31317089896,2394,8126140249,5318118569,38.251533909,128.5565424527
경민대학교,사립,경기,전문대학,7081098.3,18568000000,1345,3677628304,1915042373,37.7461245835,127.0251316197
경복대학교,사립,경기,전문대학,7171732.1,26444496981,2015,5694871056,2987754376,37.7351068105,127.2115918086
경북과학대학교,사립,경북,전문대학,5745592.5,8963885865,355,919620100,349420100,35.9831875152,128.3456689667
경북대학교,국공립,대구,대학,4524820.1,64770483901,6735,19238999692,8948501103,35.8890974885,128.6143223363
경북도립대학교,국공립,경북,전문대학,2459067.8,2432986400,124,225479050,11079050,36.6437290113,128.4546378224
경북보건대학교,사립,경북,전문대학,5777034.0,5331441650,379,986037747,404686840,36.1382094633,128.0837653473
경북전문대학교,사립,경북,전문대학,6282520.8,11637361446,660,1560149059,487789300,36.8070011305,128.61614237
경상국립대학교,국공립,경남,대학,4095673.4,45505989873,4271,10378466809,3680577883,35.1567142172,128.0980014065
경성대학교,사립,부산,대학,7561386.3,41980207209,3960,11984470427,6556547599,35.13843836,129.100099
경운대학교,사립,경북,대학,8046670.2,24972342313,1133,3601318480,2000701800,36.1672258008,128.4678765711
경인교육대학교,국공립,인천,대학,3493348.8,5797960960,512,1370263800,659963800,37.5357431901,126.7172307447
경인여자대학교,사립,인천,전문대학,6971178.9,13853331399,1294,3935586038,2420480985,37.5483197958,126.7235259852
경일대학교,사립,경북,대학,7997556.5,31378792675,2128,6074205048,3370923857,35.9110689539,128.8020451078
경희대학교,사립,서울,대학,8699742.0,83830341317,9480,43553084358,32391182279,37.5939491408,127.0548909606
경희사이버대학교,사립,서울,대학,2931652.2,18196007335,2001,4471877902,1053144558,37.5939491408,127.0548909606
계명대학교,사립,대구,대학,8236598.9,83726970167,6212,19671130029,11501585276,35.8535543479,128.4814937504
계명문화대학교,사립,대구,전문대학,6510125.5,22137132889,1011,2433907965,932016860,35.8594620299,128.4863418285
계원예술대학교,사립,경기,전문대학,8285244.2,10225076703,1237,4291475287,2849785287,37.3794706509,126.9818215238
고려대학교,사립,서울,대학,9125415.0,96799653379,13081,78544514674,63517661175,37.5864922167,127.0309795766
고려사이버대학교,사립,서울,대학,2647878.4,11066597530,1404,3186381400,714581400,37.5869442676,126.9870630256
고신대학교,사립,부산,대학,7298932.0,12064461792,1219,3845151046,2119051046,35.0794694244,129.0621818592
광신대학교,사립,광주,대학,6367853.5,2222469085,259,835220516,424670516,35.2160342606,126.8848545311
광운대학교,사립,서울,대학,8595586.5,28149622278,2716,10311124260,6933607580,37.6193203482,127.0583380669
광주과학기술원,국공립,광주,대학,2060000.0,5797079435,233,519094600,104044600,35.2268791477,126.8429478934
광주교육대학교,국공립,광주,대학,3795423.5,5618566256,273,672747145,250395677,35.1647146773,126.9256971646
광주대학교,사립,광주,대학,7133783.6,24269564963,1458,3815849987,1666807537,35.1059036524,126.8961699346
광주보건대학교,사립,광주,전문대학,5623590.0,12373568627,1003,2522347075,952405405,35.1916954595,126.846188623
광주여자대학교,사립,광주,대학,6809350.9,15438100599,790,2006702829,868321447,35.1631229088,126.7963248574
구미대학교,사립,경북,전문대학,6376911.6,30142675830,1407,3365735222,1132530250,36.1521662282,128.28908828
국립공주대학교,국공립,충남,대학,3858703.8,34021979220,2701,6629320622,2656849171,36.46684834,127.1386693
