2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,경남,기존,가야대학교(김해),"1,765","1,610","1,450",160,634,62,816,98,327,308,19,269,15,39,4,0,0,0,0,0,0,0,"1,937","1,758",179,903,77,855,102
2025,대학교,사립,경기,기존,가천대학교,"16,724","22,520","16,522","5,998","8,436","2,831","8,086","3,167","6,803","5,949",854,"4,544",702,"1,405",152,0,0,0,0,0,0,0,"29,323","22,471","6,852","12,980","3,533","9,491","3,319"
2025,대학교,사립,강원,기존,가톨릭관동대학교,"6,945","5,229","4,778",451,"2,853",195,"1,925",256,"2,800","2,616",184,"2,243",146,373,38,11,11,0,5,0,6,0,"8,040","7,405",635,"5,101",341,"2,304",294
2025,대학교,사립,충북,기존,가톨릭꽃동네대학교,432,418,395,23,137,12,258,11,157,149,8,114,4,35,4,1,1,0,1,0,0,0,576,545,31,252,16,293,15
2025,대학교,사립,경기,기존,가톨릭대학교,"6,296","7,843","6,079","1,764","2,530",731,"3,549","1,033","2,212","1,984",228,"1,334",144,650,84,0,0,0,0,0,0,0,"10,055","8,063","1,992","3,864",875,"4,199","1,117"
2025,대학교,사립,서울,기존,가톨릭대학교_제2캠퍼스,878,912,863,49,429,11,434,38,132,127,5,112,4,15,1,0,0,0,0,0,0,0,"1,044",990,54,541,15,449,39
2025,대학교,사립,서울,기존,가톨릭대학교_제3캠퍼스,200,197,189,8,130,6,59,2,112,107,5,89,4,18,1,0,0,0,0,0,0,0,309,296,13,219,10,77,3
2025,대학교,사립,서울,기존,감리교신학대학교,662,564,547,17,323,5,224,12,190,187,3,159,3,28,0,0,0,0,0,0,0,0,754,734,20,482,8,252,12
2025,대학교,사립,경기,기존,강남대학교,"5,964","6,522","5,848",674,"2,730",335,"3,118",339,"2,084","1,947",137,"1,412",97,535,40,74,72,2,21,2,51,0,"8,680","7,867",813,"4,163",434,"3,704",379
2025,대학교,사립,서울,기존,강서대학교,"1,108","1,742","1,018",724,396,415,622,309,476,412,64,298,42,114,22,0,0,0,0,0,0,0,"2,218","1,430",788,694,457,736,331
2025,대학교,국립,강원,기존,강원대학교,"12,736","14,157","12,426","1,731","6,900",980,"5,526",751,"6,283","5,783",500,"4,735",391,"1,048",109,297,283,14,132,9,151,5,"20,737","18,492","2,245","11,767","1,380","6,725",865
2025,대학교,국립,강원,기존,강원대학교_제2캠퍼스,"5,439","4,817","4,499",318,"2,919",186,"1,580",132,"3,663","3,441",222,"3,038",204,403,18,31,29,2,21,2,8,0,"8,511","7,969",542,"5,978",392,"1,991",150
2025,대학교,사립,충북,기존,건국대학교(글로컬)_분교,"6,336","7,190","6,399",791,"2,815",321,"3,584",470,"3,107","2,876",231,"2,086",152,790,79,76,65,11,30,2,35,9,"10,373","9,340","1,033","4,931",475,"4,409",558
2025,대학교,사립,서울,기존,건국대학교,"12,138","15,960","12,864","3,096","7,198","1,286","5,666","1,810","6,002","5,305",697,"4,042",475,"1,263",222,874,794,80,367,44,427,36,"22,836","18,963","3,873","11,607","1,805","7,356","2,068"
2025,대학교,사립,충남,기존,건양대학교,"2,903","2,531","2,343",188,"1,179",101,"1,164",87,704,685,19,586,17,99,2,14,12,2,4,0,8,2,"3,249","3,040",209,"1,769",118,"1,271",91
2025,대학교,사립,대전,기존,건양대학교_제2캠퍼스,"3,754","3,841","3,522",319,"1,174",88,"2,348",231,662,628,34,500,27,128,7,6,6,0,0,0,6,0,"4,509","4,156",353,"1,674",115,"2,482",238
2025,사이버대학(대학),사립,대전,기존,건양사이버대학교,"3,396","4,078","3,029","1,049",781,383,"2,248",666,336,243,93,50,22,193,71,0,0,0,0,0,0,0,"4,414","3,272","1,142",831,405,"2,441",737
2025,대학교,사립,경기,기존,경기대학교,"10,491","11,891","10,601","1,290","5,260",633,"5,341",657,"3,890","3,588",302,"2,688",232,900,70,382,356,26,148,12,208,14,"16,163","14,545","1,618","8,096",877,"6,449",741
2025,대학교,사립,서울,기존,경기대학교_제2캠퍼스,"1,312","1,841","1,413",428,439,144,974,284,450,401,49,215,22,186,27,57,53,4,10,1,43,3,"2,348","1,867",481,664,167,"1,203",314
2025,대학교,국립,경남,폐교,경남과학기술대학교,24,"1,285","1,226",59,"1,098",56,128,3,399,373,26,319,24,54,2,89,85,4,54,2,31,2,"1,773","1,684",89,"1,471",82,213,7
2025,대학교,사립,경남,기존,경남대학교,"8,287","8,352","7,458",894,"4,502",477,"2,956",417,"2,717","2,574",143,"2,298",122,276,21,17,17,0,14,0,3,0,"11,086","10,049","1,037","6,814",599,"3,235",438
2025,대학교,사립,강원,기존,경동대학교,3,"1,126",32,"1,094",31,714,1,380,21,20,1,20,1,0,0,0,0,0,0,0,0,0,"1,147",52,"1,095",51,715,1,380
2025,대학교,사립,강원,기존,경동대학교_제3캠퍼스,"3,608","3,566","3,240",326,988,85,"2,252",241,746,686,60,543,44,143,16,2,2,0,2,0,0,0,"4,314","3,928",386,"1,533",129,"2,395",257
2025,대학교,사립,경기,기존,경동대학교_제4캠퍼스,"2,698","2,453","2,365",88,"1,431",54,934,34,"1,049","1,029",20,906,17,123,3,2,2,0,1,0,1,0,"3,504","3,396",108,"2,338",71,"1,058",37
2025,대학교,국립,대구,기존,경북대학교,"19,199","22,562","20,386","2,176","11,250","1,123","9,136","1,053","6,459","5,986",473,"4,979",396,"1,007",77,468,442,26,202,14,240,12,"29,489","26,814","2,675","16,431","1,533","10,383","1,142"
2025,대학교,국립,경남,기존,경상국립대학교,"17,518","16,424","15,263","1,161","8,229",642,"7,034",519,"5,529","5,209",320,"4,355",266,854,54,190,182,8,97,4,85,4,"22,143","20,654","1,489","12,681",912,"7,973",577
